assortavity,cpl,radius,diameter,transitivity,density,global_efficiency,mean_cc
-0.0304233889224909,2.26678187403994,3,5,0.105269987331973,0.0629672299027138,0.476924816521587,0.109409915802244
-0.046781752991894,2.25970302099334,3,4,0.103521312629217,0.0629672299027138,0.477944188428056,0.109593858332845
-0.0400246806194575,2.26277521761393,3,5,0.103292859970965,0.0629672299027138,0.47759259259259,0.110523921945365
-0.0289399461539034,2.26481054787506,3,4,0.105134635691658,0.0629672299027138,0.477241210104111,0.110476852653966
-0.0323932308615255,2.26131592421915,3,4,0.104737874841616,0.0629672299027138,0.47764976958525,0.110693346997484
-0.0350925731559716,2.26443932411674,3,4,0.10434375164986,0.0629672299027138,0.477286012971495,0.110649955379712
-0.0187251002070127,2.26454173067076,3,4,0.105921093151963,0.0629672299027138,0.477200674176478,0.111374939071186
-0.0156255315435666,2.27004608294931,3,4,0.107106092067291,0.0629672299027138,0.47641449052739,0.110192242871701
-0.054132379894449,2.26082949308756,3,5,0.103740254483378,0.0629672299027138,0.477857142857141,0.110846921066097
-0.040320817862902,2.25362263184844,3,4,0.103089857980043,0.0629672299027138,0.478873314558794,0.111723131356125
-0.0537271435912553,2.2594726062468,3,5,0.10212426207297,0.0629672299027138,0.477993684929167,0.10988830462295
-0.0374967520057664,2.26566820276498,3,4,0.105137227304715,0.0629672299027138,0.477071599249014,0.110580343377395
-0.029008979481325,2.26272401433692,3,4,0.103834175010118,0.0629672299027138,0.477500426693972,0.112150729963741
-0.0251562163880968,2.26249359959037,3,4,0.104354942318353,0.0629672299027138,0.477517494452974,0.110971463796537
-0.0141610607669548,2.26355606758833,3,5,0.105703590970671,0.0629672299027138,0.477380312339988,0.111324994010783
-0.0629323912126152,2.25663082437276,3,4,0.104614484439478,0.0629672299027138,0.478544760197984,0.11317448418938
-0.0363419121120647,2.2600102406554,3,4,0.103632835873429,0.0629672299027138,0.477898318825736,0.110396860078431
-0.0397985952138183,2.26584741423451,3,4,0.104540215727332,0.0629672299027138,0.476931856972176,0.10910787070547
-0.0173226392126164,2.2599846390169,3,4,0.104152736230864,0.0629672299027138,0.477867383512545,0.112527787387891
-0.00868046202173831,2.26513056835637,3,4,0.105118359591481,0.0629672299027138,0.4770598651647,0.109925824627789
-0.0603327742813421,2.25870455709165,3,4,0.102915691690565,0.0629672299027138,0.478209805427543,0.110132650181931
-0.0355439119066344,2.2726062467998,3,5,0.105491024287223,0.0629672299027138,0.476162954429079,0.109983475233395
-0.0146001769847835,2.26507936507937,3,4,0.10508129366015,0.0629672299027138,0.47710146782727,0.109777703268654
-0.0245894391449084,2.26236559139785,3,5,0.106703588678814,0.0629672299027138,0.477711640211638,0.112976156879045
-0.0279673046288213,2.26570660522273,3,5,0.102561790834726,0.0629672299027138,0.477180192865675,0.110562642245251
-0.0206699376313866,2.26026625704045,3,4,0.105813973945093,0.0629672299027138,0.477794845536778,0.111047552294176
-0.0385334825600605,2.26400409626216,3,5,0.104360966425002,0.0629672299027138,0.477426181942308,0.111103653708431
-0.0327718333949149,2.2678699436764,3,5,0.104477414926476,0.0629672299027138,0.47703895715992,0.109839809252016
-0.0187735025637307,2.26097030209933,3,5,0.105186185420094,0.0629672299027138,0.477817673664448,0.111942126105291
-0.0406493111316747,2.25897337429595,3,4,0.10458364492148,0.0629672299027138,0.47798365762075,0.112299035109422
-0.0507501346813471,2.25885816692268,3,4,0.102354602317214,0.0629672299027138,0.478096731524147,0.11081925642724
-0.030069683028863,2.26551459293395,3,4,0.104051010443152,0.0629672299027138,0.47711960232121,0.109415410995502
-0.0507497124849677,2.26268561187916,3,5,0.102191739841977,0.0629672299027138,0.477532215395117,0.11082013025049
-0.01826168688463,2.26865079365079,3,5,0.106028680772445,0.0629672299027138,0.476681387608804,0.111114225608845
-0.017202136702978,2.26582181259601,3,4,0.10427923963742,0.0629672299027138,0.477036396996071,0.111478046449728
-0.0241539710494601,2.25948540706605,3,4,0.102461684643944,0.0629672299027138,0.477961256187057,0.109535646096441
-0.0319334426160254,2.26766513056836,3,5,0.106073002718467,0.0629672299027138,0.476760539341181,0.110502767470853
-0.0139065771676748,2.26381208397337,3,5,0.103731966924701,0.0629672299027138,0.477632061785285,0.108690447491643
-0.0574660134324511,2.26080389144905,3,5,0.102958642350022,0.0629672299027138,0.477882744495645,0.11009843058082
-0.0227529860326409,2.26569380440348,3,4,0.103566589833371,0.0629672299027138,0.477127069465774,0.110409013332099
-0.0424854961487995,2.25721966205837,3,4,0.103211432894644,0.0629672299027138,0.478297277692437,0.110364581939759
-0.0201442114572922,2.2639656938044,3,4,0.104416760543547,0.0629672299027138,0.477351083802693,0.112455158837657
-0.0371534794117102,2.26196876600102,3,5,0.105109662435008,0.0629672299027138,0.47765659668885,0.113194507868934
-0.0180929295803311,2.26272401433692,3,5,0.105853933276425,0.0629672299027138,0.477449650110935,0.111700041926096
-0.0334661092985597,2.26728110599078,3,4,0.105943760613073,0.0629672299027138,0.476692908346131,0.111977219083968
-0.0084528189824967,2.27031490015361,3,5,0.107023146559688,0.0629672299027138,0.476474654377877,0.110646098640559
-0.0388478675391982,2.26495135688684,3,4,0.104277933710505,0.0629672299027138,0.477181472947599,0.109450113969066
-0.0381143412090126,2.25711725550435,3,4,0.103071217400486,0.0629672299027138,0.478441286909026,0.112910286684994
-0.019282909664903,2.26318484383001,3,5,0.104851908558154,0.0629672299027138,0.477529655231263,0.111118432774178
-0.0353699247282918,2.26561699948797,3,4,0.105451738063188,0.0629672299027138,0.477052398020133,0.112127543862935
-0.0314924745315226,2.27036610343062,3,5,0.105603410350714,0.0629672299027138,0.476469320703188,0.110402864857392
-0.0104804996444485,2.26303123399898,3,4,0.103960788109716,0.0629672299027138,0.477422555043519,0.110147908159175
-0.00802220564686628,2.26868919610855,3,4,0.105582780524714,0.0629672299027138,0.476589435057172,0.108927264015668
-0.0173122132467153,2.25828213005632,3,5,0.102170451246228,0.0629672299027138,0.47815902884451,0.110080435715289
-0.00367945132679073,2.26376088069636,3,4,0.103180014604577,0.0629672299027138,0.477293480116058,0.11005957688932
-0.0382998998924148,2.26145673323093,3,4,0.103345651313185,0.0629672299027138,0.477864183307731,0.110560526432054
-0.0389575185928357,2.25756528417819,3,4,0.101476371890865,0.0629672299027138,0.478300477897249,0.109864363400583
-0.0241984688798583,2.26332565284178,3,4,0.105117860819526,0.0629672299027138,0.477385219320703,0.111376575583002
-0.0367910401700726,2.26145673323093,3,4,0.104389947732432,0.0629672299027138,0.477597499573304,0.110948358797823
-0.046256307136072,2.25753968253968,3,4,0.101101501807976,0.0629672299027138,0.47827700972862,0.110417575656726
-0.0318535978884807,2.26314644137225,3,5,0.10405120084455,0.0629672299027138,0.47741124765318,0.109069260155648
-0.0254761590325176,2.25948540706605,3,4,0.103462161353354,0.0629672299027138,0.478041261307391,0.112099422021205
-0.0348976124969578,2.26122631848438,3,4,0.104228251689189,0.0629672299027138,0.47779804574159,0.111985628610874
-0.0478539752855182,2.25966461853559,3,4,0.102988147717974,0.0629672299027138,0.478001792114693,0.109434018856354
-0.0205047579224376,2.26405529953917,3,5,0.10495855770246,0.0629672299027138,0.477468851339815,0.110435843709109
-0.0428577114759364,2.26468253968254,3,5,0.104763789918184,0.0629672299027138,0.47720750128008,0.111533768353299
-0.0678086484879801,2.25870455709165,3,4,0.10131176097973,0.0629672299027138,0.478173536439663,0.110698436848186
-0.0537872055308192,2.25902457757296,3,4,0.102774258262063,0.0629672299027138,0.478130867042155,0.10985928151877
