cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
OLQVR,sensory,GS,12,8,20,70,80,150,2127,0.066756638001381,90.5160283666141,0.00284087716924908,1.22222222222222,0.0163481212760385,0.209677419354839,0.0321325766489202,0.445250896057348
PLNL,sensory,GS,4,3,7,27,25,52,164,0.00514719728830582,10.9990021285918,0.000345207523965594,1.43333333333333,0.0386997316287281,0.421052631578947,0.0535778094139737,0.603070175438596
PLNR,sensory,GS,3,6,9,16,32,48,534,0.0167597765363128,24.2739601541076,0.000761846718790649,1.3768115942029,0.0183565068405491,0.287878787878788,0.0231797809493254,0.348484848484849
PVCL,interneuron,GS,22,20,42,116,123,239,1607.5,0.0504519490301927,311.386884522718,0.00977298614408129,1.35846560846561,0.0237251745745966,0.351764705882353,0.0410094270058335,0.568593073593074
PVCR,interneuron,GS,19,18,37,128,129,257,885,0.0277760341472601,326.349116528911,0.0102425810221866,1.36220238095238,0.0271829890331521,0.338414634146341,0.0440762005549532,0.596265243902439
PVNL,interneuron,GS,5,13,18,19,64,83,64,0.00200866235641203,70.4830887309454,0.00221213636089842,1.41988416988417,0.0180449265561346,0.296666666666667,0.0306928933890191,0.544222222222222
PVNR,interneuron,GS,9,18,27,32,36,68,29.5,0.000925867804908669,193.8650514558,0.00608452236067416,1.5,0.0107893219227287,0.314121037463977,0.0212008249093433,0.542817059483726
PVPL,interneuron,GS,12,12,24,31,63,94,193,0.00605737241855502,185.785931062016,0.00583095634492551,1.39835164835165,0.0148638131632981,0.273062730627306,0.02621153255809,0.543111931119311
PVPR,interneuron,GS,13,19,32,24,74,98,47,0.00147511141799008,189.284998081908,0.00594077578563517,1.41233766233766,0.0132717269731395,0.30327868852459,0.0250812150320949,0.608094262295082
PVQL,interneuron,GS,7,9,16,41,38,79,44,0.00138095537003327,83.7858681591262,0.00262964874016465,1.3547619047619,0.0160468578739031,0.337606837606838,0.0254081070704265,0.54451566951567
PVQR,interneuron,GS,6,14,20,26,39,65,60,0.00188312095913628,158.859529816123,0.00498586183592126,1.31824629271438,0.00788598851954332,0.213157894736842,0.0182639235397919,0.5125
PVR,interneuron,GS,12,18,30,30,129,159,704,0.0220952859205323,498.210264246783,0.0156365031776657,1.38025210084034,0.0117065322233651,0.208816705336427,0.0249615201426081,0.28331746031746
