,cell_class_wit7,cell_type_wit7,Gender_wit7,cell_name,indegree_wit7,outdegree_wit7,degree_wit7,instrength_wit7,outstrength_wit7,strength_wit7,BC_wei_wit7,BC_wei_norm_wit7,BC_bin_wit7,BC_bin_norm_wit7,eccentricity_wit7,CC_wei_wit7,CC_bin_wit7,LE_wei_wit7,LE_bin_wit7,cell_class_wit8,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
53,SAA,Sensory neuron,GS,SAAVL,8,5,13,27,41,68,335.0,0.0105140920218442,93.5673498731008,0.0029366439606145,3.42540792540793,0.0221995550615596,0.197368421052632,0.0321082372457145,0.280701754385965,SAA,Sensory neuron,GS,10,6,16,32,46,78,403.0,0.012648295775532,165.599965144438,0.0051974127532621,inf,0.0141978519272849,0.183760683760684,0.0205771457453071,0.306980056980057
54,SAA,Sensory neuron,GS,SAAVR,8,7,15,30,65,95,651.0,0.0204318624066286,166.287596972049,0.0052189943183745,3.31902264402264,0.0283778321324724,0.235294117647059,0.0477837686721833,0.404901960784314,SAA,Sensory neuron,GS,9,4,13,36,50,86,469.0,0.0147197288305819,46.2180926201218,0.0014505709817375,inf,0.0186593164483445,0.223684210526316,0.0256569504104207,0.300548245614035
55,SDQ,Sensory neuron,GS,SDQL,11,11,22,12,15,27,169.666666666667,0.0053250476011131,292.272491982757,0.0091730742571953,3.57424242424242,0.0116442406424123,0.263157894736842,0.020721221202962,0.327349290780142,SDQ,Sensory neuron,GS,4,9,13,4,13,17,0.0,0.0,37.956176903123,0.0011912678709159,inf,0.0048971379936687,0.155844155844156,0.0060527744769173,0.20021645021645
56,SDQ,Sensory neuron,GS,SDQR,4,13,17,5,24,29,90.5,0.0028403741133638,266.595253170666,0.008367185147532,3.21709956709957,0.009641400726813,0.18796992481203,0.0139038639367929,0.270112781954887,SDQ,Sensory neuron,GS,2,9,11,2,24,26,3.0,9.41560479568138e-05,28.7984324322967,0.0009038488617254,inf,0.0052086012748594,0.145454545454545,0.0061452854890087,0.178787878787879
57,URB,Sensory neuron,GS,URBL,3,21,24,5,46,51,236.0,0.0074069424392693,65.9376671073409,0.0020694767154397,3.0015984015984,0.013563150627162,0.203296703296703,0.0262573390289354,0.416361416361416,URB,Sensory neuron,GS,6,19,25,9,40,49,146.0,0.0045822610005649,161.097528085768,0.0050561021933892,inf,0.0072947440521645,0.202702702702703,0.0136194320997762,0.368524774774775
58,URB,Sensory neuron,GS,URBR,4,16,20,6,41,47,2.5,7.84633732973448e-05,37.1972625122478,0.0011674490776551,2.99209956709957,0.0162617190825218,0.223404255319149,0.0289577464699216,0.41334219858156,URB,Sensory neuron,GS,3,12,15,8,24,32,874.0,0.0274307953047517,115.564722147258,0.0036270391735377,inf,0.0080931494858472,0.199029126213592,0.0146123675551537,0.360355987055016
59,URX,Sensory neuron,GS,URXL,15,18,33,38,71,109,614.5,0.0192862971564874,843.050212071198,0.0264594253992593,2.91068931068931,0.0159327165283647,0.188824662813102,0.0339204353585721,0.416726305165611,URX,Sensory neuron,GS,10,11,21,31,66,97,1176.33333333333,0.0369196325821773,238.16163108049,0.0074747859858292,inf,0.0125994652001994,0.174757281553398,0.0208264571938404,0.347370550161812
60,URX,Sensory neuron,GS,URXR,10,15,25,32,89,121,1148.0,0.0360303810181407,249.992621374853,0.0078461057490067,2.86709956709957,0.0168441617516924,0.15993265993266,0.0356620972234584,0.371097883597884,URX,Sensory neuron,GS,9,12,21,25,75,100,1053.5,0.0330644655075011,417.465626838578,0.0131023045269782,inf,0.0107651725047815,0.163414634146341,0.0170071739741334,0.284512195121951
61,URY,Sensory neuron,GS,URYDL,6,12,18,8,44,52,0.0,0.0,107.829780019087,0.0033842753128832,3.25235597735598,0.0153780808527833,0.16,0.0248666456258308,0.279015873015873,URY,Sensory neuron,GS,5,14,19,6,56,62,267.0,0.0083798882681564,421.315663322646,0.0132231392669213,inf,0.009621697383411,0.154761904761905,0.0134923401769358,0.225694444444444
62,URY,Sensory neuron,GS,URYDR,3,10,13,5,43,48,2.0,6.27706986378758e-05,32.3704527369881,0.0010159579667625,3.83880286380286,0.0199516749647632,0.181818181818182,0.0331690475979569,0.327922077922078,URY,Sensory neuron,GS,6,9,15,8,43,51,28.0,0.0008787897809302,285.821993597646,0.0089706231120973,inf,0.0112396961658038,0.16504854368932,0.015203805020562,0.243932038834951
63,URY,Sensory neuron,GS,URYVL,7,10,17,9,34,43,0.0,0.0,67.2153939536872,0.0021095786188465,3.20235597735598,0.0157355436796371,0.177777777777778,0.0239518963903724,0.275,URY,Sensory neuron,GS,8,12,20,12,54,66,14.0,0.0004393948904651,108.026449022436,0.0033904478382535,inf,0.0122358833350884,0.192513368983957,0.0185614773049712,0.326069518716578
