,cell_name,cell_type_herm,Gender_herm,indegree_herm,outdegree_herm,degree_herm,instrength_herm,outstrength_herm,strength_herm,BC_wei_herm,BC_wei_norm_herm,BC_bin_herm,BC_bin_norm_herm,eccentricity_herm,CC_wei_herm,CC_bin_herm,LE_wei_herm,LE_bin_herm,cell_type_male,Gender_male,indegree_male,outdegree_male,degree_male,instrength_male,outstrength_male,strength_male,BC_wei_male,BC_wei_norm_male,BC_bin_male,BC_bin_norm_male,eccentricity_male,CC_wei_male,CC_bin_male,LE_wei_male,LE_bin_male
55,PHCR,sensory,GS,10,14,24,28,118,146,276.0,0.0035584435677264,106.517026107014,0.0013733145884197,1.29656084656085,0.006313258792862,0.468045112781955,0.0091133598004674,0.707706766917293,sensory,GS,27,29,56,515,417,932,2307.0,0.0181522047021056,342.922955613975,0.0026982261323606,inf,0.0106996961721747,0.298752462245568,0.0190998679826443,0.616601006784855
56,IL2DL,sensory,GS,4,14,18,5,88,93,0.0,0.0,126.229325312314,0.0016274635170871,0.986904761904762,0.0041604075487797,0.363333333333333,0.0064996462312384,0.544491525423729,sensory,GS,3,5,8,5,28,33,178.0,0.0014005602240896,111.481580749691,0.000877172290543,inf,0.0038093175666916,0.351851851851852,0.0049826130945142,0.438271604938272
57,IL2DR,sensory,GS,3,12,15,7,117,124,7.0,9.02503803408886e-05,48.426107366377,0.0006243535154634,1.26046176046176,0.005210384767232,0.323529411764706,0.0086868902364413,0.565277777777778,sensory,GS,2,12,14,5,49,54,1.0,7.86831586567211e-06,287.449397515679,0.0022617426550505,inf,0.001750593370369,0.112359550561798,0.0018520744528638,0.116104868913858
58,IL2L,sensory,GS,16,17,33,35,122,157,401.0,0.0051700575023851,275.48437036935,0.0035517956005434,1.20666666666667,0.0025165301988533,0.209302325581395,0.005103017898229,0.446220930232558,sensory,GS,8,11,19,69,144,213,4898.0,0.038539011110062,467.438391515916,0.0036779529121889,inf,0.0060950213493607,0.285276073619632,0.011200912837387,0.495858895705521
59,IL2R,sensory,GS,7,15,22,20,96,116,41.0,0.000528609370568,96.2325628243543,0.0012407179137252,1.21929824561404,0.0037398350719632,0.302222222222222,0.0067253021278806,0.541481481481481,sensory,GS,9,16,25,40,114,154,450.0,0.0035407421395524,1099.44005908946,0.008650741660289,inf,0.0033006564648584,0.184931506849315,0.0046867100485595,0.284360730593607
60,IL2VL,sensory,GS,2,12,14,7,106,113,3.0,3.86787344318094e-05,9.41717694617935,0.0001214148287328,1.30919409145216,0.0062154702982216,0.337078651685393,0.0093820605746772,0.591947565543071,sensory,GS,4,11,15,7,112,119,0.0,0.0,96.954268469744,0.0007628668088451,inf,0.004547975268332,0.279411764705882,0.0057632792713769,0.336928104575163
61,IL2VR,sensory,GS,5,15,20,16,152,168,11.0,0.0001418220262499,105.293543926109,0.0013575403409673,1.33333333333333,0.0053844354637207,0.290322580645161,0.0090616387407469,0.556003584229391,sensory,GS,3,8,11,10,115,125,345.0,0.0027145689736568,46.4374161697887,0.0003653842584095,inf,0.0101807162344839,0.424528301886792,0.0145858979692373,0.612421383647799
62,CEPDL,sensory,GS,19,26,45,42,177,219,415.0,0.0053505582630669,741.418456889591,0.0095590425322914,1.0,0.0019820136286693,0.170756646216769,0.0052301063182679,0.46044648943422,sensory,GS,13,15,28,84,107,191,1700.0,0.0133761369716426,1213.43392487095,0.0095476814030068,inf,0.0025935410808858,0.156756756756757,0.0056737414749195,0.352522522522523
63,CEPDR,sensory,GS,14,23,37,37,155,192,393.0,0.005066914210567,227.795935102006,0.002936952826152,1.29141414141414,0.0036780491474409,0.296352583586626,0.007050045177129,0.566595804988662,sensory,GS,12,13,25,94,118,212,3321.0,0.0261306769898971,1444.981798111,0.0113695732076842,inf,0.0027538627441206,0.143835616438356,0.0044153376826247,0.245319634703196
64,CEPVL,sensory,GS,14,22,36,52,146,198,591.5,0.007626157138805,212.957261485971,0.0027456391207804,1.30935127674258,0.0034182025187006,0.240322580645161,0.0073358710117112,0.546841397849462,sensory,GS,11,16,27,79,184,263,2041.0,0.0160592326818368,1104.52979772058,0.0086907893315124,inf,0.0039867773561296,0.205539358600583,0.0092582848915415,0.131399317406143
