,cell_name,cell_type_cook,Gender_cook,indegree_cook,outdegree_cook,degree_cook,instrength_cook,outstrength_cook,strength_cook,BC_wei_cook,BC_wei_norm_cook,BC_bin_cook,BC_bin_norm_cook,eccentricity_cook,CC_wei_cook,CC_bin_cook,LE_wei_cook,LE_bin_cook,cell_class,cell_type_wit8,Gender_wit8,indegree_wit8,outdegree_wit8,degree_wit8,instrength_wit8,outstrength_wit8,strength_wit8,BC_wei_wit8,BC_wei_norm_wit8,BC_bin_wit8,BC_bin_norm_wit8,eccentricity_wit8,CC_wei_wit8,CC_bin_wit8,LE_wei_wit8,LE_bin_wit8
46,AVDL,interneuron,GS,29,7,36,192,88,280,238.0,0.0074697131379072,70.8804602766846,0.0022246080056708,1.3484555984556,0.0249836685836995,0.298076923076923,0.0416117882889738,0.557841117216117,AVD,Interneuron,GS,16,0,16,44,0,44,0.0,0.0,0.0,0.0,inf,0.0057611630297295,0.1375,0.0099199902523019,0.253333333333333
47,AVDR,interneuron,GS,34,9,43,171,107,278,486.5,0.0152689724436633,339.145660942671,0.0106442050386878,1.26923076923077,0.0191424132477555,0.241899441340782,0.0345925186571972,0.508962490023943,AVD,Interneuron,GS,18,0,18,51,0,51,0.0,0.0,0.0,0.0,inf,0.0058387030311983,0.124183006535948,0.0100452642378098,0.230555555555556
48,AVEL,interneuron,GS,43,8,51,300,32,332,275.0,0.0086309710627079,400.997935851654,0.0125854602928772,1.3921568627451,0.0110043777598368,0.169952681388013,0.0298578929158429,0.477871976866456,AVE,Interneuron,GS,39,0,39,173,0,173,0.0,0.0,0.0,0.0,inf,0.008271150026823,0.125506072874494,0.02548598157312,0.408940620782726
49,AVER,interneuron,GS,42,11,53,293,64,357,617.0,0.0193647605297847,726.259613205374,0.0227939116566874,1.35411255411255,0.0121264396351859,0.174817518248175,0.0312630890779805,0.492986618004866,AVE,Interneuron,GS,33,0,33,156,0,156,0.0,0.0,0.0,0.0,inf,0.0095710393526237,0.125,0.0265719366003911,0.381748286435786
50,AVFL,interneuron,GS,10,16,26,37,41,78,49.5,0.0015535747912874,115.586002062381,0.0036277070511073,1.57142857142857,0.0126047003825913,0.331230283911672,0.0215759480463064,0.607518401682439,AVF,Modulatory neuron,GS,8,13,21,16,19,35,83.3333333333333,0.0026154457765781,279.804628094147,0.0087817659937903,inf,0.0069214280392435,0.198067632850242,0.0135642924861707,0.404227053140097
51,AVFR,interneuron,GS,11,18,29,37,48,85,126.333333333333,0.0039650157972924,239.101506689709,0.0075042843101409,1.48809523809524,0.011812995205741,0.297738693467337,0.0204909707711688,0.556951423785595,AVF,Modulatory neuron,GS,10,18,28,17,30,47,430.166666666667,0.0135009310986965,699.981352434548,0.0219691592629009,inf,0.0061130374628988,0.180592991913747,0.0125170456536643,0.373764600179695
52,AVHL,interneuron,GS,15,21,36,32,45,77,384.0,0.0120519741384722,334.309878946432,0.0104924323315056,1.46477212506624,0.0075002916091352,0.237520128824477,0.0159050690067686,0.513727858293076,AVH,Modulatory neuron,GS,7,11,18,10,24,34,166.0,0.0052099679869436,223.946036041953,0.0070286245697681,inf,0.0062906340590528,0.161073825503356,0.0108616598267892,0.279753914988814
53,AVHR,interneuron,GS,12,18,30,20,45,65,30.5,0.0009572531542276,223.259633113283,0.0070070815740783,1.4202380952381,0.0075108236082622,0.242424242424242,0.0160143589976747,0.541083916083916,AVH,Modulatory neuron,GS,10,17,27,12,37,49,95.8333333333333,0.0030077626430648,307.95186445174,0.009665176839236,inf,0.0066820043717461,0.181556195965418,0.0135402728376675,0.402209414024976
54,AVJL,interneuron,GS,23,14,37,83,32,115,339.5,0.0106553260937794,259.539171459592,0.008145727558207,1.48809523809524,0.0117145033307009,0.287556904400607,0.0232662808608077,0.57049822964087,AVJ,Modulatory neuron,GS,17,7,24,32,9,41,205.5,0.0064496892850417,591.708643962385,0.0185709824857945,inf,0.0058474301379096,0.170955882352941,0.0091787534702988,0.287837009803922
55,AVJR,interneuron,GS,23,16,39,72,55,127,65.5,0.0020557403803904,461.23624034635,0.0144760605218238,1.41208791208791,0.0122075771305151,0.257493188010899,0.022192569748176,0.488510445049954,AVJ,Modulatory neuron,GS,15,10,25,42,13,55,303.666666666667,0.0095306844098508,745.037931286286,0.023383275729279,inf,0.0069335644553639,0.15993265993266,0.0102636597949885,0.252328843995511
56,AVKL,interneuron,GS,10,14,24,58,32,90,200.0,0.0062770698637875,164.841322441032,0.0051736024870074,1.51666666666667,0.0101414715850304,0.208791208791209,0.0217408509461021,0.458272283272283,AVK,Modulatory neuron,GS,11,17,28,49,34,83,241.0,0.007563869185864,239.841546737078,0.0075275107255375,inf,0.0154824869607455,0.278820375335121,0.0280725109854135,0.524285075960679
57,AVKR,interneuron,GS,12,17,29,76,37,113,188.0,0.0059004456719603,344.91357989987,0.0108252331900028,1.45833333333333,0.0105896404503019,0.218204488778055,0.023081276431802,0.504239401496259,AVK,Modulatory neuron,GS,14,15,29,53,35,88,573.5,0.0179994978344109,222.541352074262,0.0069845380727594,inf,0.0128181837313125,0.22636815920398,0.0239522299208037,0.440443615257048
58,AVL,interneuron,GS,12,7,19,36,14,50,12.0,0.0003766241918272,116.937407323805,0.0036701213773085,1.70833333333333,0.0081093444637774,0.215976331360947,0.0163046909987741,0.449457593688363,AVL,Modulatory neuron,GS,2,5,7,8,5,13,0.0,0.0,9.9947851655513,0.0003136898237885,inf,0.0079765215517974,0.2,0.0130126278176753,0.320833333333333
59,AVM,sensory,GS,2,17,19,3,87,90,28.0,0.0008787897809302,54.8839896096267,0.001722553185915,1.39835055643879,0.0164246605324135,0.281065088757396,0.0277808716166294,0.521400394477318,AVM,Sensory neuron,GS,7,12,19,7,45,52,122.833333333333,0.0038551670746762,253.936550644694,0.0079698873468299,inf,0.0113080741673934,0.248484848484848,0.0192458210851401,0.445757575757576
60,AWAL,sensory,GS,4,8,12,18,54,72,532.0,0.016697005837675,18.0175072576125,0.0005654857591366,1.25538302277433,0.0240562533816232,0.296875,0.0355770619437068,0.471484375,AWA,Sensory neuron,GS,6,13,19,6,47,53,12.0,0.0003766241918272,175.159828035188,0.0054974523895294,inf,0.0131737156085246,0.27710843373494,0.0251207720006109,0.561495983935743
61,AWAR,sensory,GS,11,13,24,21,93,114,168.5,0.005288431360241,104.554782200537,0.0032814883623293,1.27774509803922,0.0170591142311304,0.312962962962963,0.0303397953765643,0.560030864197531,AWA,Sensory neuron,GS,7,12,19,8,43,51,1.0,3.13853493189379e-05,180.284169135396,0.0056582816249888,inf,0.0154655718069834,0.315151515151515,0.0278465788049702,0.583030303030303
62,AWBL,sensory,GS,9,16,25,28,74,102,48.0,0.001506496767309,152.871687534994,0.0047979313142613,1.27754578754579,0.0135313387087596,0.249152542372881,0.0274657763550808,0.543559322033898,AWB,Sensory neuron,GS,11,11,22,18,34,52,106.0,0.0033268470278074,185.862422615429,0.0058333570590493,inf,0.0131116697930414,0.281938325991189,0.0232769887754914,0.543098384728341
63,AWBR,sensory,GS,8,15,23,19,40,59,0.0,0.0,88.6713018518233,0.0027829797831844,1.36274509803922,0.0141333928892771,0.330645161290323,0.0233456186090011,0.596942204301075,AWB,Sensory neuron,GS,11,11,22,20,27,47,137.0,0.0042997928566945,424.141101391741,0.0133118166276989,inf,0.0105780250845842,0.237777777777778,0.0193445023313025,0.474740740740741
64,AWCL,sensory,GS,12,14,26,57,67,124,265.0,0.0083171175695185,120.141035054938,0.0037706683527379,1.27228468049364,0.0210214330670123,0.34012539184953,0.0336670184906458,0.585841170323929,AWC,Sensory neuron,GS,9,15,24,34,60,94,277.5,0.0087094344360052,627.503402983163,0.0196944135014488,inf,0.0164238333404221,0.209259259259259,0.0295570965856981,0.428024691358025
