cell_class,cell_type,Gender,cell_name,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
SAA,Sensory neuron,GS,SAAVR,8,7,15,30,65,95,651,0.0204318624066286,166.287596972049,0.00521899431837452,3.31902264402264,0.0283778321324724,0.235294117647059,0.0477837686721833,0.404901960784314
SDQ,Sensory neuron,GS,SDQL,11,11,22,12,15,27,169.666666666667,0.00532504760111313,292.272491982757,0.00917307425719532,3.57424242424242,0.0116442406424123,0.263157894736842,0.020721221202962,0.327349290780142
SDQ,Sensory neuron,GS,SDQR,4,13,17,5,24,29,90.5,0.00284037411336388,266.595253170666,0.00836718514753205,3.21709956709957,0.00964140072681301,0.18796992481203,0.0139038639367929,0.270112781954887
URB,Sensory neuron,GS,URBL,3,21,24,5,46,51,236,0.00740694243926935,65.9376671073409,0.00206947671543974,3.0015984015984,0.013563150627162,0.203296703296703,0.0262573390289354,0.416361416361416
URB,Sensory neuron,GS,URBR,4,16,20,6,41,47,2.5,7.84633732973448e-05,37.1972625122478,0.00116744907765513,2.99209956709957,0.0162617190825218,0.223404255319149,0.0289577464699216,0.41334219858156
URX,Sensory neuron,GS,URXL,15,18,33,38,71,109,614.5,0.0192862971564874,843.050212071198,0.0264594253992593,2.91068931068931,0.0159327165283647,0.188824662813102,0.0339204353585721,0.416726305165611
URX,Sensory neuron,GS,URXR,10,15,25,32,89,121,1148,0.0360303810181407,249.992621374853,0.00784610574900675,2.86709956709957,0.0168441617516924,0.15993265993266,0.0356620972234584,0.371097883597884
URY,Sensory neuron,GS,URYDL,6,12,18,8,44,52,0,0,107.829780019087,0.00338427531288329,3.25235597735598,0.0153780808527833,0.16,0.0248666456258308,0.279015873015873
URY,Sensory neuron,GS,URYDR,3,10,13,5,43,48,2,6.27706986378758e-05,32.3704527369881,0.00101595796676254,3.83880286380286,0.0199516749647632,0.181818181818182,0.0331690475979569,0.327922077922078
URY,Sensory neuron,GS,URYVL,7,10,17,9,34,43,0,0,67.2153939536872,0.0021095786188465,3.20235597735598,0.0157355436796371,0.177777777777778,0.0239518963903724,0.275
URY,Sensory neuron,GS,URYVR,5,9,14,6,30,36,0,0,83.1261094618072,0.00260894198298309,3.34679487179487,0.0173625541411814,0.161111111111111,0.0212281301711244,0.209722222222222
ADA,Interneuron,GS,ADAL,19,13,32,27,42,69,333.833333333333,0.0104774757809721,1076.71896535402,0.0337932008459615,2.93376623376623,0.0113618194317855,0.163265306122449,0.0189555189982821,0.287638483965014
ADA,Interneuron,GS,ADAR,10,19,29,17,46,63,309.833333333333,0.0097242273973176,645.993076321377,0.0202747183579617,3.5011655011655,0.0109269697615321,0.150872817955112,0.0206330006156616,0.315666191663698
AIA,Interneuron,GS,AIAL,18,10,28,106,32,138,3035.83333333333,0.0952806896407424,856.958009915186,0.02689592649285,2.7,0.0275955137082098,0.243243243243243,0.0532237186526554,0.512950450450451
